"item","Form","RetailPrice","RetailPriceUnit","Yield","CupEquivalentSize","CupEquivalentUnit","CupEquivalentPrice","Category","id"
"Apples","Fresh","1.5193","per pound","0.9","0.2425","pounds","0.4094","fruit","c021354b-3173-4657-9c7f-a0d59503e86c"
"Apples, applesauce","Canned","1.066","per pound","1","0.5401","pounds","0.5758","fruit","193272b7-8a69-4b69-9a0e-59788c9b499b"
"Apples, ready-to-drink","Juice","0.7804","per pint","1","8","fluid ounces","0.3902","fruit","2149b2a8-3dcc-4fcd-9baf-40cc9eb3e561"
"Apples, frozen concentrate","Juice","0.5853","per pint","1","8","fluid ounces","0.2926","fruit","ec7eefc0-72aa-4c2f-a2b4-c1e36611770e"
"Apricots","Fresh","2.9665","per pound","0.93","0.3638","pounds","1.1603","fruit","d53e8dc8-351b-42f6-856e-18f3f6b5ccd2"
"Apricots, packed in juice","Canned","1.6905","per pound","1","0.5401","pounds","0.9131","fruit","26a7c803-3a6a-4118-b469-8b0caa61903a"
"Apricots, packed in syrup or water","Canned","2.06","per pound","0.65","0.4409","pounds","1.3974","fruit","c28fb755-3620-4587-9530-114074700d25"
"Apricots","Dried","6.6188","per pound","1","0.1433","pounds","0.9485","fruit","76fd2ec4-9697-47c9-ad88-3f17a578305b"
"Bananas","Fresh","0.5249","per pound","0.64","0.3307","pounds","0.2712","fruit","07932dfe-8c4a-4ff4-a55b-81ba80357ea6"
"Berries, mixed","Frozen","3.5585","per pound","1","0.3307","pounds","1.1768","fruit","068e11ba-5b99-4f16-a10c-917f8b421f29"
"Blackberries","Fresh","6.0172","per pound","0.96","0.3197","pounds","2.0037","fruit","37e67f23-e1d6-40e7-acdf-0751cd28a27b"
"Blackberries","Frozen","3.6362","per pound","1","0.3307","pounds","1.2025","fruit","92d14f92-1b4c-45d1-9d2e-5855ce1cfb7e"
"Blueberries","Fresh","4.1739","per pound","0.95","0.3197","pounds","1.4045","fruit","5e3798e3-08f3-47e8-9646-20c7bfe6bd7f"
"Blueberries","Frozen","3.3898","per pound","1","0.3307","pounds","1.121","fruit","30153f4e-a7d3-4a67-8c93-e245eba41f7f"
"Cantaloupe","Fresh","0.5767","per pound","0.51","0.3748","pounds","0.4238","fruit","c9ee0d20-e111-4ff8-86ac-4a6036a67206"
"Cherries","Fresh","3.4269","per pound","0.92","0.3417","pounds","1.2729","fruit","5906381e-2ab4-4d25-b5a2-550a5c1301a1"
"Cherries, packed in syrup or water","Canned","4.5257","per pound","0.65","0.4409","pounds","3.07","fruit","a02d81ae-f05c-401d-b984-b0081f93a55b"
"Clementines","Fresh","1.3847","per pound","0.77","0.463","pounds","0.8326","fruit","61dd631b-4694-48a0-be9c-868fb9cc86c1"
"Cranberries","Dried","4.6513","per pound","1","0.1232","pounds","0.5729","fruit","ce8e927a-523c-44d2-991f-cb49bbc5d22b"
"Dates","Dried","5.5713","per pound","1","0.1653","pounds","0.9212","fruit","fd9da509-fd39-43b1-8f01-db3aa73a890d"
"Figs","Dried","6.8371","per pound","0.96","0.1653","pounds","1.1776","fruit","866584cd-f78c-4197-a5b5-129fc0428b11"
"Fruit cocktail, packed in juice","Canned","1.7198","per pound","1","0.5401","pounds","0.9289","fruit","0b55b50b-5919-49b5-890e-18a947759f40"
"Fruit cocktail, packed in syrup or water","Canned","1.5932","per pound","0.65","0.4409","pounds","1.0808","fruit","424205cc-bb88-4e0c-9a23-bdd6e1be05bb"
"Grapefruit","Fresh","1.1695","per pound","0.49","0.463","pounds","1.105","fruit","c456c0d1-4d1e-4e20-91ac-ec7640ee8217"
"Grapefruit, ready-to-drink","Juice","1.0415","per pint","1","8","fluid ounces","0.5208","fruit","a3059c6a-ccbd-4db0-94bd-7a88837144ee"
"Grapes","Fresh","1.8398","per pound","0.96","0.3307","pounds","0.6338","fruit","aa2d253c-148f-48e5-89a2-c1ac89734ba0"
"Grapes (raisins)","Dried","3.7801","per pound","1","0.1653","pounds","0.625","fruit","bb7f8c7f-4166-4d9a-96cf-ab1df27856e1"
"Grapes, ready-to-drink","Juice","0.9215","per pint","1","8","fluid ounces","0.4607","fruit","868bf191-ea59-449a-bd47-fe42902b6d67"
